year,departamento,total,temp_prom,emergencias,humedad,predida_bosques,necesidad_insatisfecha,precipitacion,superficie_reforestada
2020,LAMBAYEQUE,568,20.811111111111114,41,80.85555555555554,,10.21332170683931,42.59999999999999,141.0
2020,LORETO,7800,27.633333333333336,57,87.56666666666666,34777.53,50.66200309890107,3276.6,1108.0
2020,MADRE DE DIOS,3233,27.54,36,89.69,23042.07,24.95339134143992,,243.0
2020,PASCO,377,,429,,8677.44,24.87888994509666,,306.0
2020,PIURA,125,,92,,67.95,24.1411614293114,30.7,540.0
2020,PUNO,20,,209,,5601.15,21.03158821425009,640.7999999999998,
2020,SAN MARTIN,4955,,161,,20149.38,34.74894430107292,,961.0
2020,TUMBES,3093,,61,,,25.67081060605643,229.1,
2020,UCAYALI,9781,,180,,47267.19,39.39825714874035,1743.8,1516.0
2021,AMAZONAS,2369,14.991666666666667,350,80.43333333333334,4329.27,27.92279500563394,810.0,5489.21
2021,ANCASH,28,11.159821368086062,305,65.36010199212578,,17.5522798842874,654.1,204.5800000000001
2021,AREQUIPA,7,16.241666666666667,199,51.04999999999999,,10.56161468386074,76.7,
2021,AYACUCHO,1663,17.441666666666666,895,63.33333333333334,893.34,16.89153786489288,480.3,118.57
2021,CAJAMARCA,4015,14.908333333333337,488,65.28333333333335,383.76,14.11480422313633,744.9,310.74
2021,CUSCO,1982,14.04,538,74.4,5349.24,12.25862309548138,,651.1299999999998
2021,HUANUCO,2811,20.825,403,64.31666666666666,15020.91,23.67018486888847,357.7,639.5299999999996
2021,ICA,4208,22.04,122,71.28,,11.85678839214735,0.4,83.92999999999999
2021,JUNIN,5090,12.683333333333332,367,59.68333333333333,12082.32,23.475783746079,754.6,131.14
2021,LA LIBERTAD,262,19.708333333333332,94,93.25,25.2,10.72653575726143,4.1,147.96
2021,LAMBAYEQUE,843,20.51666666666667,78,82.74166666666666,,10.24707974763013,24.0,
2021,LORETO,5115,27.49166666666667,140,85.35000000000001,19829.34,56.24465163449135,2515.4,3848.480000000001
2021,MADRE DE DIOS,1333,26.54545454545454,96,91.43636363636364,23142.06,21.07913253512925,1736.6,281.16
2021,PASCO,616,,500,,5597.1,21.90377804926477,,476.0
2021,PIURA,4072,23.775,373,72.69166666666665,24.93,22.60625281666377,,43.72
2021,PUNO,51,9.67736484616275,223,55.30459451600353,1890.9,20.50916851642521,509.8,
2021,SAN MARTIN,4532,23.059999999999995,205,81.75,13080.15,30.93878226758869,1172.8,893.2099999999996
2021,TUMBES,1455,24.50833333333333,106,82.65833333333335,,21.18200784447358,,
2021,UCAYALI,3140,25.683333333333337,279,86.65833333333335,36305.64,42.89685102903292,2441.3,1531.21
2022,AMAZONAS,3575,15.0,289,79.0,,28.59815208060441,,67.32
2022,ANCASH,2145,11.1,259,63.0,,18.6235359781916,,171.73
2022,AYACUCHO,782,17.7,846,61.0,,18.52046147397482,,83.24
2022,CAJAMARCA,3638,14.8,486,62.0,,17.58773382610937,,221.8
2022,CUSCO,3687,12.5,603,73.0,,11.72907153210074,,415.1
2022,HUANUCO,1580,20.9,323,63.0,,28.38001720958665,,2951.66
2022,ICA,5084,20.8,121,69.0,,12.01728839361304,,221.48
2022,JUNIN,4157,12.5,306,70.0,,22.04603788615469,,304.47
2022,LA LIBERTAD,162,18.8,93,95.0,,11.02442808776884,,131.8
2022,LAMBAYEQUE,2386,19.8,93,81.0,,7.751332813730751,,1.2
2022,LORETO,8926,27.3,110,86.0,,52.51180226025835,,6781.98
2022,MADRE DE DIOS,3641,26.1,61,92.0,,27.24652683764471,,159.53
2022,PASCO,496,5.4,421,83.0,,23.8113131763863,,601.01
2022,PIURA,12150,22.5,317,71.0,,21.26251940576335,,
2022,PUNO,25,9.7,345,47.0,,18.58928730257621,,
2022,SAN MARTIN,4270,23.3,176,80.0,,32.75208026419799,,1019.7
2022,TUMBES,723,24.2,149,87.0,,21.54560785517112,,
2022,UCAYALI,4842,26.1,249,87.0,,42.85725098930793,,468.56
